name_project,project_desc,category_project
joki Cyberpunk,The ONLY reason I bothered wanting GTA V for the THIRD time on PC was for the mods and now TakeTwo is deciding to over the modding community!? This is a sad time in gaming history. I'm incredibly worried about the new Red Dead now. One of my favorite franchises is now being held hostage by a greedy corporation so that we can get what? A load of micro transactions shoved down our thoats? No if you haven't already DO NOT buy this game or support this corporate greed take a stand people!,cewek
tutor ML,KONTOOOLLLLL!!!! Ni game susah amat nyari RP sama duitnya kyk nyari serbuk micin di dalem jembudgua laporin rockstar ke ka seto ni biar di cabulin!KENGENTOTAN YANG HAQQ,mobile legend
tutor Bang Bang,I am enjoying this game so much! Astrimetrical games like this are the future of gaming. They should make a Preditor game like this.,waifu
cari Minecraft,I love this game. Am I very good at in? No. Do i play against ppl who kick my all the time? Yes... But i love this game and cant reccomend it enough and for all the ppl who gave it negative reviews... Grow up... Get over the fact that you havent played as much as some ppl and dont bash it just because you suck... Are there cheaters? Yes. Is it better than fortnight? Different games. Cant really compare. But I think so.,pro player
cari FF,GG pubg said FIX network problem?? !! new update and pkt loss!!!!,"cewek, jodoh, cogan"
cari ML,"PROS +AMAZINGLY FUN INTENSE BATTLE ROYAL FIRST PERSON SHOOTER GAME.Devs continue to battle hackers with massive ban wavesReleasing new maps Reworked the whole crate / skin / level up systemAdding more gunsCONS / BUGS Desync servers causing you to get shot a second after running behind a wall for cover When first landing at the start with new snow map getting ""parachute freeze bug"" in air bug even sometimes getting heavy lag and rubberbanding some people even dc My squad can't see me on the map ""invisible bug"" but I'm right next to them Plain sight cheaters that ruin it especially once reaching into the top 10% ESP player location Aimbot Macro ""XTM rapid fire"" No Recoil Flying CarsUpdate 1/3/19 The cheaters are way less frequent now and there has been a huge wave of pro players account bans recently lol not so pro after all uh... OVERALL REVIEW I do recommend PUBG this shooter game can still be intensly fun and the graphics are nice too",sepuh
joki Roblox,I'd probably like this gameIF I COULD RUN IT,"sepuh, wibu"
cari VALORANT,Incredible heart pumping hand throbbing gameplay.Amazing audio for gunshots localisation (where's the guy shooting at you).Ruthless survival.,"jodoh, wibu"
joki Bang Bang,Bluehole made the best game on earth but then came the crashes and the server that stop working!!!!!!!!!Bluehole PLZ FIX.,"gg, sepuh"
tutor Roblox,Product received for free. good,"cewek, pro player"
tutor Roblox,This is amazing!Think back to search and destroy in MW2 or CS GO. But on a scale battlefield has only dreamed of.,"valorant, jodoh, pro player"
cari Genshin Impact,last update completely on the game unplayable at the moment with servers giving setback like all the time and bad fps. 1080 gtx and i7 on this computer,"valorant, suhu"
cari GTA,10/10.,"cogan, gg, waifu"
joki PUBG,10/10 would recommend,mobile legend
cari NINTENDO,Social Club UI crashing every time the launcher starts up no solution,valorant
tutor COD,Nice game but need more optimise,"valorant, sepuh"
cari Resident Evil,"This game is still early access if you want to play a crisp finished game then look elsewhere. If you're looking to have some fun with friends this game is perfect. Below are my good points and bad points Pros Great game with friends squads and duos focus heavily around team play and communicationAddictive gameplay no two games in a row will be the same due to RNGHeart pumping action certain moments will get the blood flowing!No ""pay to win""All players are essentially on a level playing field separated by luck and skill alone.The game can be played how YOU want to play it. Spawn into a busy area and kill as many people as possible in a short space of time OR spawn in a quiet area get lots of loot and try and kill mid to late gameCons No tutorial this game will throw you in at the deep end. Some patience is needed to begin with. Don't expect to spawn as a godCommunity can be either hilarious or highly offensiveAlthough only playing for a short time there has been downtime to servers minimal thoughHigh skill cap at times if you don't enjoy losing sometimes... don't buy the game!Graphics not optimisedAll in all I really enjoy this game so far and I'm sure with the coming updates that get added regularly it will only improve. The communities suggestions will be listened to and acted upon. This game will not be for everyone but I hope this review has been helpful.","cecan, valorant"
joki Destiny,byeeeeeeeeee,"wibu, cogan"
cari Cyberpunk,on low graphics all of my sights are very blurry and not good for playing please fix,"valorant, cogan, free fire"
tutor PUBG,"Had this game since 2016 sucked at this game and this was the time when I had a bad PC. Over these 2 years I have developed my skills to become a Gold III. Not much compared to a Champ I or II but I felt that I accomplished a lot in this game. Got a high tier in the Rocket Pass to get all the way up to Tier 70. This game is very unique and fun and I had a lot of fun playing this game everyday with my friends. That is why I nominate this game for ""Better With Friends"". Thx Psyonix &lt 3",gg
cari VALORANT,Good and interesting game but still no fix for game,"cewek, suhu, wibu"
joki DOTA,It goot is,"cogan, cecan"
cari Resident Evil,A guy stole my stone and torch. Im still salty!,"cecan, jodoh, susah"
cari Bang Bang,Great game.,"mobile legend, pro player, jodoh"
tutor COD,I used to be a big fan of this game. I bought it on Xbox 360 for the single player Xbox One for the online with friends and then a third time here for mods. I know many other people who have done the same thing. Apparently $200 isn't enough so now they're taking the mods away. If I could refund the PC version now I would. All in all this version looks like it's turning into a waste of $60.,"valorant, gg, waifu"
cari Destiny,"Tread carefully Actual honest review in path ""ReEeEe HaCKeRs"" Fu&lt k no hackers are as rare as actually winning if you're an NA pleb you're probably gonna find them alot EU players shouldn't even bother thinking about it If someone's good at aiming you shouldn't report them because you're salty that you lost in the top 5. ""I have X GPU and Y CPU and this game is laggy and unoptimized"" hahAA AMD btwIts unreal engine either you have a top end PC or you fu&lt k off and play minesweeper. ""I KEEP CRASHING WITH MY CAR BECAUSE I DON'T UNDERSTAND HANDLING AT ALL"" That's like sh!ttalking DS or any simular difficult game for being ""unfair"" you make a d!ckhead out of yourself and show that you clearly can't drive Terrain you mongrel Terrain drive on the road if it's too hard. ""REE HOW COME IF I HIT A CLEARLY UNMOVABLE PHYSICS OBJECT MY CAR EXPLODES?"" How come you've got sh!t for brains and sh!t for driving too? Are you Paul walker's next of kin? Summary blame it on your own region and play on another it's not a dev's fault if ya'll have a heritage of sh!t for brains. (no amd normies) handling is hard get over it and stop driving full speed up rocky terrain and also dont do ret4rded sh!t and expect to not get blown up Information about my gametime Region EuropeHackers found 2 (with very high amount of time between situationsHardware 32 GB RAM i7 5820k 3.30GHz 6 Core GTX 1080 Founder's Edition Graphics settings All graphical options on high (including view distance) With reshade (HDR Lumasharpen Vibrance Clarity)Gamebreaking glitches found (Not on purpose) 0Amount of times i lost a game unfairly 0 Absolute Fu&lt k all I don't blame my losses on anyone but myself.Amount of bullsh!t reviews i see More than I can process Requirements As you can see this game isn't glitchy unfair or full of hackers if you have 1. enough braincells to play it 2. enough money to afford a good pc/connection3. enough sense to not badly review a game because your car exploded in a top 30 game4. enough chromosomes to accept your losses To Readers Whether you agree or not you need to realize I'm writing my experience and my experience doesn't lie.","sepuh, wibu"
tutor Bang Bang,"Amazingly fun for a Game in Alpha. A lot of people running around with Rocks punching Trees Animals Zombies and other naked people with said rocks. Quite amusing to see honestly XD You also have the choice to censor or uncensor people so you can basically see ""Their Johnson hanging out feeling the breeze between their crack."" Now if you're not a fan of the ""One Eyed Snake"" or Another Man's Johnson. You can always go to console and type nudity.censor true (Or False if you wanna see If you are someone who gives up easily I would not recommend this game for you. Killing (PVP) is part of the game and the only way to counter act it is Get yourself weapons for self defense or avoid every player you see. Besides your neighbors They are a very valuable asset and will actually save your life when you're being raided (Experience) Try to get on peoples' good side and you can actually make it quite far in this game... or die repeatedly Having everything taken from you forcing you to start once again from the beginning.9/10 Very fun Amazing fun with friends but still in Alpha which involves plenty of bugs and glitches in the Game which hinders the experience. ""Should I get it"" yeah you should! If you don't You'll regret it when it's 30$ or more. Also made by ""Garrry Newman"" The guy who made Garry's Mod (Best Game ever Approx 1 000 hours on that game &lt 3)","jodoh, pro player"
cari Roblox,gr8,"suhu, cecan"
joki Roblox,A good game !Often updated and getting better and better.,"cogan, susah, mobile legend"
joki DOTA,The removal of the zombies took away a huge element to the game. I know they don't want to be a zombie survival game just a survival game which is fine. But bring in something new/different like dinosaurs or something. The engine and fine and I don't mind the alpha the game just needs a direction.,"jodoh, susah"
tutor Genshin Impact,Great game to play with friends Few things still need work but seems like it is close to release now. Never had any crashes however the game does lag on the start up menu (which seems like it crashes) however if you leave it it will open just fine. Also isnt really the best optimised with my 970 I struggle to keep 60fps on med high settings at 1080p However this seems to be something in common with alot of similar survival games such as ARK.Overall I think this is a great buy at 15 even better if you get it on sale for around 10. I've played it more than most AAA games I have.,cecan
cari COD,different entertaining fun game.,cecan
tutor Roblox,Too many cancer kids that just kill for fun to ruin everyone's good time in the game.Showing really how those bullies act in real life.The game itself is great,wibu
tutor COD,"Day 1 Spawn's in the nudeHammers a rock with a large stone Hammers a tree down with same stoneMakes basic toolsMeets new ""friends""Makes new basic toolsBuilds home. Gets alot of equipmentGet mauled by random bearKill random bear after X attemptsMakes new basic tools""Oooh! Airdrop!"" Get's the loot back homeCalls it the dayDay 2 Finds EVERYTHING exploded/stolen. RagequitNew serverRepeat the above but with a wolf instead of a bear.Would I recomend this game? Yes. but don't get attached to any items in game whatsoever. It will be taken/lost ) Not suitable for children.","wibu, sepuh"
tutor GTA,This GTA best GTA.Also best game in general.,"suhu, susah"
tutor Destiny,Hot Wheels Soccer!!!!!!,"mobile legend, sepuh, free fire"
tutor GTA,If you love mods you've come to the wrong place.,"suhu, free fire"
cari VALORANT,Highly addictive and immensely enjoyable. Do yourself a favor and mute everyone else except your team and if you're alone. Record your gameplay if you are worried about being banned. Just focus on the game and have fun after all it's only a game.,"wibu, gg, waifu"
tutor Destiny,My name is PUBG. I'm a game. I'm a performance game. I was bought by people to fulfill their fantasies their deep dark fantasies...,"valorant, pro player, waifu"
tutor ML,Hilarious game play! Especially if you're like me.,sepuh
cari NINTENDO,How a normal game goes...1. Spend 30 minutes collecting powerful gear and equiping my weapons with the best attachments2. Don't see another human soul for miles!3. Gets headshotted by some ding dong in his underwear who got a lucky shot from a f cking mile away4. Repeat for 40 hours cause your wife left you and you got nothing to live for.,susah
cari Resident Evil,&gt be me&gt get to top 10&gt step on a rock the wrong way and get stuck&gt die to the blue circle at #6And that's only one of many interesting features PUBG has to offer!sadfrog.jpg,"free fire, wibu, waifu"
tutor Cyberpunk,Very very spicey memey game and love it i recommend u get this game is spicymems,"wibu, cewek"
joki PUBG,gg,"waifu, susah, cecan"
tutor Cyberpunk,Good game,"cogan, wibu"
joki Clash Royale,It's taking quite a while to finish loading.,"suhu, gg, cecan"
joki COD,Honestly a great game Game itself is very fun and immersive The Devolopers are great about updating the game and meeting deadlines and the playerbase is very high and the community is funny as hell. My only complaint is the hackers and heavy aimbot use. #Regionlockchina,waifu
joki DOTA,Completly amazing game i strongly recommend it especially if it is on sale!,"cewek, suhu, cogan"
cari PUBG,Graphics Potato Really bad Bad OK Good Beautiful Masterpiece $ Price Full price You must buy Wait for sale Average Refund it if you can F2P Don't do it Requirments 90' PC Minimum Medium Fast High end NASA computer Difficulty You just need 2 arms Ez Easy to learn / Hard to master Hard Dark Souls Game time/length Really short ( 0 2 hours) Short ( 2 8 hours) Few hours ( 8 12 hours) Long ( 12+ hours) Endless Story It doesn't have Still better than Minecraft Average Good Very good Fantastic Bugs There is a Game in your Bug Game itself is one big BUG Bugs destroying the game Lot of bugs Few Bugs Sometimes Nothing,"gg, valorant, cogan"
cari FF,Product received for free. I don't know if anyone noticed but I have noticed an increase of modders per lobby now. They weren't as plentiful a month ago. But now they're getting to be a more common sight now.,gg
cari GTA,i dont like because we need to wait for server like 10 min or 15 and no worthit i hope for future to fix,"wibu, susah, cogan"
cari COD,Great Game for an early access. I'm hooked!!!!,"cewek, free fire, pro player"
cari ML,Plays online with a buddy goes to his apartment and get drunk as hell on wine and whiskey. Then we take a hit from the bong and go to the bedroom we kill eachother and our bodys fall out of the window. 1337/420 would get drunk again.EDIT It's actually really good don't check my game hours but instead make your's higher.also this t about 25discount on 80 dollars or something dont ask me about it since i was busy playing the game while that happend Sincerely Eriqoua Darkyfox Sweden,"susah, cecan"
cari GTA,cool,"cecan, jodoh, suhu"
tutor NINTENDO,I really liked the games story back in the day but the multiplayer is plain chaos. Hackers Massacres Pay2HaveFun Needs friends to do something (dont have any),"cewek, susah"
tutor Minecraft,poo,free fire
joki FF,"Honestly this game must host some of the clunkiest combat I have witnessed. You cant jump unless you sprint towards a cliff or unless you use a certain weapon type and even then it is ridiculously hard to control your character when in the air. I have lost count at the amount of times they just flail around and miss the enemy. This brings us to another major issue of this game the lock on system. Most of the enemies in the game will have ""weak spots"" on their bodies but you can only lock on to 2 parts the body and the head. This makes it really hard to hit the weakspots or even the enemy alot of the time because your character will just kind of attack in a direction and when using dual blades for example will fly right by the enemy not even hitting it. It is quite comedic at how bad the combat is. Often times when fighting the larger monsters another larger monster will come around and join the fight. To change the enemy you are locked onto you have to cycle through all the targets in the area swaying the camera around most likely ending with you being cheap shotted and at higher levels this could end up with you being on shotted. Furthermore I like the idea of enemies fighting one another but it is so poorly implemented in this game that they attack eachother maybe once then they will turn and beeline it for the player characters. To add onto this there is no blood or healthbar for enemies so you will be fighting monsters until you can visibly see them limp when they run away which seems like it can take and eternity. Even when they are limping it still takes quite some time to actually finish them off. This seems like a major missed opportunity to actually have the enemies show blood cuts and bruises to signify the health they have left. Even if the gore was an option in the menu it would have been a welcome addition.The ""hunting"" in this game is honestly the most monotonous part. You fight a monster it runs away you chase after it you fight it it runs away you chase after it rinse and repeat. This can occur maybe like 6 12 times for a single monster. It may seem refreshing at first but after the first 10 hours it gets annoying and fairly rage inducing especially because that is a good portion of the ""gameplay"". And honestly it could be forgivable if the combat wasn't so terrible.Also a good portion of the enemies you fight in this game can become airborne meaning if you have a melee weapon (which I assume alot of the playerbase will) you either have to wait for it to land or get a few lucky hits on its feet as it hovers just above your head. This just adds to the monotony and could have been fixed if you were able to equip a ranged weapon as well as a melee weapon OR even easier be able to jump without having a cliff nearby... or even better both?The progression in this game is entirely hit and miss as well. You grind for hours on end to get better armor and weapons (in a pretty impressive technology tree) but you never actually feel like you can kill monsters faster more efficiently or take less damage from them. You get to a certain point in the game where you may start to feel progression and then the enemies get alot harder dropping better materials to further farm but basically kill you in one or two hits. You have to farm for better armor to not get one shotted but the enemies you have to farm are the culprits of this unfair challenge. It honestly all just feels like artificial challenge especially with how awful the hitboxes are as well. There were countless times playing this game where I visibly was beside underneath or behind the enemy when they attacked and even though there was no physical way I could have gotten hit I indeed lost health and most likely got stunned leaving me open to another attack. It's kind of funny how the same company that made this game also made Dragon's Dogma which featured better controls and in my honest opinion significantly better combat. You can jump and grapple enemies regardless of the weapon you have equipped and you can dodge out of an attack providing much more responsive combat in a game released years before this one. The game got fairly monotonous as the hours started to add up and honestly a good portion of the ""difficulty"" I encountered felt artificial due to the gameplay mechanics. If the combat was ironed out and the hitboxes fixed the game would honestly be pretty fun. But as of right now if you're feeling like wasting your time to chase monsters countless times each ""hunt"" for 15+ minutes over and over again with some pretty rage inducing combat this game may be for you.","pro player, sepuh, suhu"
joki FF,Death simulator?,cewek
cari COD,Best football game ever!,"valorant, suhu"
cari Resident Evil,"Better than that other ""league"" game kappa",valorant
cari NINTENDO,"I have played for 500+hrs and maybe around 100+ on test server. I can say this is one of the best games ! Honestly 1.0! AMAZING! Hands down.Don't let the reviews scare you. This is my honest feeling about the game.Solo Can be challenging You either die within the first 30sec or you end up killing some poor soul that is trying to enjoy the game but you ended up gunning him down anyways. So you made it past the first 2 min gun shots are popping off near you. People do one or two things.. 1) Aggressive player Follows the gun shots and attemps to kill everyone around ( About 15% of the people who try this can do it) 2) House Keeping The guy that waits till gun shots stop and goes in to clean the guy looting .. (Enough said with that one) Now at this point you are either in the Zone or Driving/Running to the Zone.. Those Driving or running 50% end up getting shot and killed. The other 50% make it to the middle of the zone camp in a house or are out looking for kills.After flipping your car.. Running a guy down Gunning someone down.. you are in the Top 10 and either you get picked out by a sniper or fragged... RIP... Chicken Dinner !! You won your first game.. Congrats.. you got 1kill ... Duo You cannot go wrong with Duo's .. The amount of enjoyment in duo is legit over 9000!! You guys play together calling shots kill everyone the millitary base! Load out with Silence M4 lvl 3 gear Both got a Kar98 8x Silenced man! life is good! Bang bang! you guys killing it both got 9 kills each reaching the end of the zone! Chicken Dinner.. EZPZ if you got a good friend or team8 its legit amazing!! ORYall s*** and ... well you know you made it half way but didnt win.. Don't worry keep at it legit everyone can get a win... okay not everyone..Squad Where do you start man... its so fun! gun shots everywhere 4 squads landing at the same spot! granades flying Bullets Smokes Beating people down with your fist or a PAN!! amazing. You got that one guy on your team.. he doesnt know how to drive so gets all you killed!! Then you make it and there is people already camping the middle of the circle! your team rolls up and just get's LIT UP! no return.. lol.. OR you and your friends actually good and take them out! ... Either way you guys are going to have so much fun.. But sometimes you got that one guy in your team and you guys are on discord flaming each other ... lul ( We do this all the time) But legit fun!I have shot a guy mid air with a Kar98 while he was doing a flip on a bike.. I have also shot a guy inside the 5th seat aiming down the bridge (fkn bridge campers) with a K98 + 8x while car moving!Legit I flipped crashed into a tree blew up my 4man squad.. Had my Retardo team8 shot our team8 while he was down begging for help.. lmao.. ( After he killed him"" DUDE! i didnt know that was you!) Back flipping on a bike with your friend! Landing on a roof top! Done that! had a 8 man fist fight! its an experience ...Hacker's In all my hours on PUBG ( I only play NA) I have encounter i want to say 10 ? maybe less than 15 hackers.. I can't speak for all regions but NA I haven't seen a lot. Although.. its really annoying when you do get killed by one.This is my opinion on the game. I have had a lot of fun and a lot of games.. but you know it happens. I have gotten a lot better &amp I plan on enjoying the rest of the game. See you guys on 1.0 ! (sorry for my spelling mistakes I did see a few of them but honestly im sittinng here watching netflix at 1 30ish AM and I am not about to go back an correct them... Sorry lmao. I am lazy AF right now. ) Hope i helped at least 1 person if not then.. welph... Worth the try I love/hate the game.","cewek, gg, cogan"
cari GTA,Very Fun game especially with mods !,valorant
joki Bang Bang,soccer + cars best game ever,"cewek, valorant"
joki ML,Great gamme 10/10,waifu
joki NINTENDO,Love this game I have 900 hours on it. I think it is beyond epic and is very addicting Anyone add me to play?,mobile legend
tutor Resident Evil,THIS IS MY MOST LIKED GAME GET THIS ITS SO MUCH FUN,"wibu, jodoh, suhu"
tutor GTA,Though my early access review was positive I'm gonna be honest the game has changed alot some for the better some for the worst. 1. Where has the weather gone? it was fun when it might be raining or foggy and make the game more challeneging yeha it would you off to get sniped in the fog but it would also be funny and the dicersity was great. 2. Hackers...... seraiously do something about them please!......maybe impose region locks....3. The emotes and stuff just why te pose no purpose. BE PUBG NOT FORTNITE. 4. You' really went and introduced keys and creatws didn't you. This isn't no CSGO bull this is PUBG you added the microtransactions for nothing! Weapon skins really? Making a random create dropper instead of the free one for people is a move man.Bottom Line i still like pubg but its loseing its identity its become a csgo foortnite instead of focusing on making its own chracter. People aready baught the game now you're gonna charge us to unlock creates? Mate off. Don't become greedy s like EA when you have a good game going. People like this game hell i like this game but I'm not sure I like the direction the game is going in. Only time will tell I suppose.,"waifu, mobile legend, sepuh"
joki Bang Bang,PUBG 2017 2017 Killed by chinese#regionlockchina,valorant
tutor DOTA,g,"pro player, cewek"
tutor Cyberpunk,80 percent of players are aggresive and want to kill you on sight. When you get to their level odds are you're just going to get raided and blown up.,"sepuh, wibu, susah"
tutor PUBG,Some people say they don't like soccer games or car racing games but they love Rocket League and it's easy to see why! Easy to get into but hard to master! It has become one of my recent favourite games to play and its even better when yopu play with mates.,"mobile legend, cogan, susah"
joki GTA,Very fun game. Can't wait for it to be finished,"susah, cecan"
joki ML,one of the best games i have played and one of the gilchest like he said WE'VE DONE A PRETTY GOOD JOB SO FAR.MEMESSSSSSSSSSSSSSSSSSSSS,"free fire, gg"
joki Resident Evil,Love this game. That is all.,"waifu, cewek, sepuh"
cari FF,good game,"susah, suhu, pro player"
joki Roblox,WARNING!!!! You will become addicted and angry in this game. It is by far the best survival game. It has everything min raft should of had. GUNS FORTS CLANS TURRETS. It is extremely difficult. I have only just gotten good and I have 350 hrs on it. If u don't want a game where u will die right when u are doing well this isn't ur game. Something to help is that u should never trust anyone NO MATTER WHAT. Kill them on sight! But also try to be hidden and make sure not everyone knows where u live. Good luck fellow survivor I'll see u on the beach.,suhu
tutor Cyberpunk,Very Nice game Yes.,"valorant, wibu"
joki GTA,new battle pass was waste of money no real progression fix the game first before u start launching battle to many glitches,"mobile legend, susah"
cari Clash Royale,It's an alright game just needs to fix it's problems.Meme PUBG Corp.CEO Ok we need to increase our sales to compete with Fortnite what do we do?Employee Free weapon skins!Employee2 Port to mobile!Employee3 Fix the game bugs and optimization?CEO *Squints eyes at Employee 3**Employee3 Was Killed by CEO with Kar98k*,valorant
joki Destiny,Well the concept is good but the game is not confusing as hell and poorly constructed. Now i dont have much time in the game because its hard to get into theres no map very glitchy and laggy (and its not my computer i have a 2014 alienware mx17). Also the resources (other than wood) are SUPER hard to find. I have played 1.5 hours so far and have yet to find stone/ores its impossible. Many feel the same via chat. RECCOMENDATION TO THE MAKERS Please please please add a map for starters first thing hands down next make resources easier to find and mabey even a different color than the mountain of boulders. The game is just to hard in the beggining very frustrating and discouraging. Lag and glitches seem to be the norm so mabey limit the amount of players in a server and reduce some detail. My setting is on fastest and its still horrible. In conclusion i think you have a great idea and i do reccomend the game based on the vision but as far as were is stands now I do not reccomend to people this game at its current stage it definatly is not worth $20 as it is.,"valorant, mobile legend"
tutor Cyberpunk,Love it.,"susah, cogan"
tutor Genshin Impact,If you think someone is a cheater... he is,"sepuh, cecan"
tutor GTA,SYSTEM REQUIREMENTSMINIMUM OS 64 bit Windows 7 Windows 8.1 Windows 10Processor Intel Core i3 4340 / AMD FX 6300Memory 6 GB RAMGraphics nVidia GeForce GTX 660 2GB / AMD Radeon HD 7850 2GBDirectX Version 11Network Broadband Internet connectionStorage 30 GB available space,"wibu, sepuh, suhu"
tutor Roblox,Good game go on x1000 raid russian people and enjoy.,"sepuh, cogan, mobile legend"
tutor GTA,You know why this has a bad review.,suhu
cari Bang Bang,Took two thing I hate cars and football and made them good any game that can do such a thing is needless so say great.,"sepuh, free fire, cewek"
cari NINTENDO,Bugged game 0/10 super buggy pls fix before releasing skins you company,wibu
joki PUBG,There is plenty of good reviews about this game.I enjoy it mostly the ICE rink mod. wish that was the main game as i find the ball touch too random for my taste.what i really hate about the game is matchmaking and joining games with 1 minute to go loosing 6 nul.just fix that all ready.,"mobile legend, wibu, cecan"
joki Minecraft,Too many Asians atm. Can't communicate with team. Not racist.,"valorant, susah"
joki Cyberpunk,Way to ruin your own game 'DOpenIV &lt 3,"free fire, sepuh, cogan"
joki Resident Evil,Great game. Really fun and competitive. Haven't experienced any bugs.,"wibu, gg, jodoh"
cari ML,This game is so glitch. The online is so bad. Too much lagg on online. Rockstar support sucks.,"wibu, valorant"
cari Minecraft,cool,waifu
joki Bang Bang,Good game.............,"mobile legend, jodoh"
joki Minecraft,Very interesting after 51hours of playing. I m really addicted to it. You should try it when it s on sale especially when you have friends. Encountered modders or cheaters sometimes but just don t let them ruin your game enjoying cause you can simply change to another session when they try to destroy your day. Hope I d never meet any kinds of money dropping in the future! Strongly recommend to you!,pro player
cari Clash Royale,Product received for free. DON T BUY THIS STUPID GAME IS FULL OF STUPID PEOPLE WITH COBWEB WI FI AND U ARE GONNA RUIN YOUR WHOLE DAY PLAYING THIS GAME BY PLAYING WITH LAGGING KILLERS YOU,"waifu, suhu, gg"
joki Destiny,Excellent entry to the Monster Hunter series. Has a few technical issues but gameplay is so good I've taken to calling it Quality of Life Hunter.Pros +Its monster hunter that means boss fights to turn dinosaurs into armor and weapons to fight bigger dinosaurs+excellent combat system+Graphics are great if your rig can handle it+plethora of graphics options if you can't+many QoL items that were a drag for previous installments have been eliminated or streamlined+fun and varied monster fights+EXCELLENT Environments with interactables and destructables galore+they will be adding more monsters (look at what consoles got for an idea theres no official roadmap)Cons very system resource intensive. AMD systems got a better run of it especially since the newest Nvidia drivers dont play nice. Story is lackluster (but who cares thats not why you buy a monster hunter game) Constant connection issues with multiplayer (although there is talk of patching this it does get annoying) no native steam controller support but it works fine for xbox configs relatively small monster list compared to other MH games (30 something vs 90 something from 4u and gen but who knows maybe theyll add that many),"cecan, wibu"
joki Resident Evil,STUPIDDDDDDDDD GAME EVER,free fire
joki Minecraft,"Need squads to play with? come on and join my discord. "" https //discord.gg/PBGJpg "" game is awesome","cogan, cewek, free fire"
tutor VALORANT,l垃圾游戏,wibu
tutor VALORANT,This game was awesome. i really like it.. its really colorful..play this game like back being a kid again.... but i still get a problem. every time i play about 20 30 minutes the game freeze it self.... that because game bug or because my amd rx 470 problem ?? by the way 10/10 reccomended this game...,valorant
cari COD,pretty good,free fire
joki Genshin Impact,You just need a beastly/good pc to play. The players are better than what you will find on Fortnight and the game itself is more realistic. If you like battle royal games have a good pc and don t get mad easily with bugs then I recommend.,"jodoh, cecan, valorant"
tutor Roblox,.,waifu
joki DOTA,4 months later this game is still in beta,"valorant, pro player, waifu"
joki PUBG,Hacker online. Not friendly for peole who want to play in Co OP. waste of en money. story mode is fine but after that boring,valorant
tutor Resident Evil,This game is that DayZ should be. If you like games that are truely survival you will love this game.If you don't like running around you will not like this game,"pro player, cewek"
tutor PUBG,f*ck hacker f*ck blue hole,"jodoh, cewek"
tutor VALORANT,Always something new to learn and improve on. Never gets dull.,cecan
tutor COD,If adding new cosmetics and fixing the millionth bugs that shouldn't been there in the first place called content then no thanks.,"suhu, sepuh"
cari Genshin Impact,Most of the bugs are now fixed but there there still seems to be hacking and cheating though it is significantly better than in previous months. Overall great concept with gameplay that matches.,mobile legend
