ID,Skill,Genre,Experience,Difficulty Rating
54,Beginner,Simulation,2 years,Easy
55,Intermediate,FPS,1 year,Difficult
56,Advanced,FPS,6 months,Difficult
57,Intermediate,Puzzle,1 year,Easy
58,Intermediate,Racing,1.5 years,Difficult
59,Beginner,Simulation,2 years,Challenging
60,Intermediate,Sports,2.5 years,Moderate
61,Beginner,Sports,5 years,Moderate
62,Intermediate,Puzzle,6 months,Difficult
63,Beginner,Strategy,2.5 years,Easy
64,Intermediate,FPS,4 years,Moderate
65,Intermediate,RPG,3 years,Moderate
66,Beginner,Platformer,2.5 years,Moderate
67,Advanced,Strategy,1 year,Easy
68,Beginner,Racing,3 years,Moderate
69,Beginner,RPG,3 years,Easy
70,Beginner,FPS,3 years,Difficult
71,Intermediate,Adventure,4 years,Easy
72,Advanced,Adventure,6 months,Easy
73,Intermediate,Sports,5 years,Easy
74,Beginner,Racing,2 years,Challenging
75,Beginner,Adventure,3 years,Difficult
76,Intermediate,Strategy,2 years,Difficult
77,Beginner,Adventure,5 years,Moderate
78,Beginner,Sports,2.5 years,Difficult
79,Advanced,FPS,5 years,Challenging
80,Beginner,FPS,1.5 years,Easy
81,Advanced,Adventure,5 years,Moderate
82,Beginner,Platformer,6 months,Challenging
83,Advanced,Strategy,1 year,Difficult
84,Beginner,Platformer,4 years,Challenging
85,Beginner,Platformer,6 months,Difficult
86,Beginner,Racing,1.5 years,Moderate
87,Advanced,Adventure,3 years,Moderate
88,Beginner,Strategy,2.5 years,Challenging
89,Beginner,Sports,2.5 years,Difficult
90,Advanced,Puzzle,4 years,Easy
91,Advanced,RPG,5 years,Difficult
92,Intermediate,Sports,2.5 years,Difficult
93,Advanced,Platformer,2.5 years,Moderate
94,Beginner,Puzzle,6 months,Challenging
95,Beginner,Simulation,5 years,Difficult
96,Beginner,Sports,5 years,Moderate
97,Advanced,RPG,1.5 years,Easy
98,Intermediate,Platformer,4 years,Easy
99,Beginner,Platformer,5 years,Easy
100,Advanced,Strategy,1 year,Moderate
101,Advanced,Adventure,3 years,Easy
102,Advanced,Racing,4 years,Difficult
103,Advanced,Platformer,1 year,Easy
104,Beginner,Sports,5 years,Difficult
105,Advanced,Sports,3 years,Easy
106,Beginner,Racing,2 years,Easy
107,Advanced,Strategy,4 years,Moderate
108,Advanced,Racing,6 months,Difficult
109,Beginner,RPG,3 years,Challenging
110,Intermediate,Puzzle,1 year,Challenging
111,Intermediate,FPS,6 months,Moderate
112,Beginner,Simulation,4 years,Challenging
113,Beginner,Puzzle,5 years,Difficult
114,Beginner,RPG,1 year,Easy
115,Beginner,Sports,2.5 years,Challenging
116,Intermediate,Puzzle,2 years,Challenging
117,Intermediate,Racing,1.5 years,Easy
118,Advanced,Platformer,2.5 years,Difficult
119,Intermediate,FPS,1 year,Easy
120,Advanced,Adventure,2.5 years,Difficult
121,Intermediate,FPS,2.5 years,Moderate
122,Beginner,Racing,2 years,Difficult
123,Intermediate,Adventure,6 months,Moderate
124,Advanced,Simulation,4 years,Moderate
125,Advanced,Strategy,3 years,Challenging
126,Intermediate,FPS,3 years,Difficult
127,Advanced,Platformer,2.5 years,Challenging
128,Advanced,FPS,6 months,Moderate
129,Advanced,Adventure,1 year,Easy
130,Intermediate,Strategy,2.5 years,Challenging
131,Advanced,RPG,2 years,Moderate
132,Beginner,Strategy,2 years,Difficult
133,Advanced,Puzzle,6 months,Challenging
134,Intermediate,Racing,6 months,Challenging
135,Intermediate,Puzzle,1 year,Difficult
136,Intermediate,RPG,4 years,Moderate
137,Beginner,Racing,3 years,Challenging
138,Intermediate,Adventure,1 year,Moderate
139,Advanced,Adventure,5 years,Challenging
140,Intermediate,Racing,4 years,Moderate
141,Intermediate,Strategy,2.5 years,Easy
142,Advanced,Sports,3 years,Difficult
143,Beginner,Adventure,2.5 years,Easy
144,Advanced,Simulation,5 years,Difficult
145,Advanced,Sports,3 years,Moderate
146,Intermediate,RPG,2 years,Challenging
147,Advanced,Adventure,2.5 years,Challenging
148,Beginner,Platformer,6 months,Challenging
149,Intermediate,Adventure,1.5 years,Challenging
150,Advanced,RPG,2.5 years,Moderate
151,Advanced,Simulation,2 years,Difficult
152,Intermediate,Puzzle,3 years,Difficult
153,Beginner,FPS,6 months,Easy
154,Advanced,Platformer,6 months,Difficult
155,Intermediate,FPS,2.5 years,Moderate
156,Beginner,Simulation,2.5 years,Easy
157,Beginner,Strategy,5 years,Challenging
158,Intermediate,RPG,1 year,Easy
159,Intermediate,FPS,2 years,Difficult
160,Intermediate,Strategy,1 year,Moderate
161,Intermediate,Puzzle,3 years,Challenging
162,Advanced,FPS,6 months,Moderate
163,Advanced,RPG,3 years,Moderate
164,Intermediate,Sports,3 years,Challenging
165,Beginner,Sports,2.5 years,Difficult
166,Advanced,FPS,2 years,Challenging
167,Beginner,Simulation,5 years,Challenging
168,Advanced,Sports,1.5 years,Easy
169,Intermediate,Adventure,1 year,Challenging
170,Advanced,Simulation,2.5 years,Moderate
171,Advanced,Simulation,5 years,Easy
172,Beginner,Simulation,3 years,Moderate
173,Advanced,Sports,2.5 years,Moderate
174,Advanced,Strategy,2 years,Challenging
175,Advanced,Strategy,3 years,Difficult
176,Advanced,Strategy,1.5 years,Easy
177,Advanced,Puzzle,2 years,Easy
178,Advanced,Platformer,4 years,Challenging
179,Intermediate,Racing,4 years,Easy
180,Beginner,FPS,5 years,Moderate
181,Intermediate,FPS,5 years,Challenging
182,Beginner,Puzzle,1 year,Easy
183,Intermediate,Puzzle,6 months,Difficult
184,Beginner,Puzzle,2.5 years,Moderate
185,Advanced,Adventure,1 year,Challenging
186,Beginner,Puzzle,4 years,Challenging
187,Advanced,Puzzle,5 years,Challenging
188,Advanced,RPG,6 months,Easy
189,Advanced,Adventure,5 years,Challenging
190,Beginner,Simulation,4 years,Easy
191,Intermediate,Adventure,2.5 years,Easy
192,Beginner,RPG,1 year,Moderate
193,Beginner,Strategy,4 years,Challenging
194,Beginner,Puzzle,1 year,Difficult
195,Intermediate,RPG,4 years,Challenging
196,Advanced,RPG,5 years,Easy
197,Advanced,Platformer,1.5 years,Easy
198,Beginner,RPG,4 years,Difficult
199,Beginner,Puzzle,1.5 years,Easy
200,Beginner,Platformer,5 years,Difficult
201,Advanced,Simulation,1.5 years,Difficult
202,Advanced,Platformer,3 years,Easy
203,Advanced,FPS,1 year,Moderate
204,Advanced,Adventure,3 years,Easy
205,Intermediate,Sports,6 months,Moderate
206,Beginner,FPS,1 year,Difficult
207,Intermediate,Sports,4 years,Moderate
208,Advanced,Strategy,3 years,Challenging
209,Intermediate,Puzzle,2 years,Moderate
210,Advanced,Sports,1 year,Easy
211,Intermediate,Strategy,1.5 years,Easy
212,Advanced,Platformer,6 months,Difficult
213,Advanced,Adventure,2.5 years,Moderate
214,Intermediate,Simulation,4 years,Easy
215,Beginner,Puzzle,2 years,Difficult
216,Advanced,Platformer,2 years,Challenging
217,Intermediate,Strategy,2.5 years,Difficult
218,Advanced,Strategy,2.5 years,Easy
219,Intermediate,Puzzle,2.5 years,Challenging
220,Advanced,Strategy,2 years,Difficult
221,Intermediate,Strategy,4 years,Difficult
222,Advanced,FPS,1.5 years,Easy
223,Intermediate,Adventure,4 years,Moderate
224,Beginner,Racing,6 months,Moderate
225,Advanced,Platformer,6 months,Difficult
226,Beginner,Racing,1.5 years,Challenging
227,Intermediate,Adventure,1.5 years,Easy
228,Advanced,Simulation,1 year,Moderate
229,Intermediate,FPS,1 year,Challenging
230,Advanced,Simulation,2.5 years,Difficult
231,Intermediate,FPS,4 years,Challenging
232,Advanced,RPG,6 months,Easy
233,Intermediate,Strategy,3 years,Difficult
234,Beginner,Adventure,1 year,Moderate
235,Advanced,Sports,5 years,Moderate
236,Beginner,Platformer,5 years,Easy
237,Beginner,Strategy,4 years,Difficult
238,Beginner,FPS,6 months,Challenging
239,Advanced,RPG,2 years,Moderate
240,Advanced,Sports,5 years,Challenging
241,Advanced,FPS,2.5 years,Moderate
242,Advanced,Simulation,1.5 years,Challenging
243,Beginner,FPS,2.5 years,Easy
244,Intermediate,Simulation,1 year,Challenging
245,Advanced,Simulation,2 years,Moderate
246,Intermediate,FPS,4 years,Easy
247,Advanced,Puzzle,4 years,Difficult
248,Advanced,Strategy,1 year,Moderate
249,Intermediate,Adventure,4 years,Easy
250,Intermediate,Platformer,1 year,Moderate
251,Advanced,Platformer,1 year,Challenging
252,Beginner,RPG,1.5 years,Easy
253,Advanced,Adventure,2.5 years,Challenging
254,Intermediate,RPG,4 years,Moderate
255,Beginner,Platformer,6 months,Challenging
256,Intermediate,Puzzle,6 months,Moderate
257,Intermediate,Sports,1.5 years,Difficult
258,Intermediate,RPG,2 years,Moderate
259,Beginner,Platformer,6 months,Challenging
260,Advanced,FPS,2 years,Easy
261,Beginner,FPS,1 year,Challenging
262,Intermediate,Strategy,6 months,Challenging
263,Intermediate,Simulation,3 years,Moderate
264,Beginner,Adventure,1 year,Easy
265,Intermediate,Sports,4 years,Easy
266,Beginner,Platformer,2 years,Moderate
267,Intermediate,Puzzle,2 years,Challenging
268,Beginner,Platformer,1.5 years,Difficult
269,Intermediate,Platformer,2 years,Moderate
270,Advanced,Platformer,3 years,Difficult
271,Advanced,Sports,5 years,Moderate
272,Intermediate,Puzzle,3 years,Easy
273,Advanced,Sports,2 years,Easy
274,Beginner,Strategy,3 years,Moderate
275,Advanced,Puzzle,2.5 years,Difficult
276,Intermediate,Adventure,4 years,Challenging
277,Intermediate,Strategy,4 years,Difficult
278,Advanced,Adventure,2 years,Moderate
279,Beginner,Racing,2 years,Challenging
280,Intermediate,Puzzle,6 months,Moderate
281,Intermediate,Platformer,4 years,Difficult
282,Advanced,Simulation,1.5 years,Easy
283,Beginner,Strategy,1.5 years,Challenging
284,Intermediate,RPG,3 years,Challenging
285,Advanced,FPS,3 years,Easy
286,Beginner,Adventure,1.5 years,Difficult
287,Intermediate,Sports,2.5 years,Moderate
288,Beginner,Simulation,2 years,Moderate
289,Intermediate,FPS,4 years,Easy
290,Beginner,Simulation,3 years,Moderate
291,Beginner,Sports,4 years,Moderate
292,Beginner,Simulation,4 years,Moderate
293,Intermediate,Adventure,1.5 years,Easy
294,Advanced,Racing,5 years,Moderate
295,Intermediate,Sports,2.5 years,Difficult
296,Advanced,Sports,5 years,Difficult
297,Intermediate,Simulation,5 years,Difficult
298,Intermediate,FPS,5 years,Difficult
299,Beginner,Racing,5 years,Challenging
300,Intermediate,Puzzle,4 years,Moderate
301,Beginner,Platformer,1 year,Difficult
302,Intermediate,Adventure,6 months,Challenging
303,Intermediate,FPS,2 years,Challenging
304,Advanced,Strategy,4 years,Easy
305,Beginner,Adventure,1 year,Challenging
306,Advanced,RPG,3 years,Difficult
307,Beginner,Sports,4 years,Moderate
308,Intermediate,RPG,2 years,Moderate
309,Advanced,Platformer,1.5 years,Challenging
310,Beginner,Simulation,1.5 years,Easy
311,Beginner,RPG,3 years,Moderate
312,Beginner,FPS,2 years,Moderate
313,Beginner,Puzzle,6 months,Easy
314,Beginner,Racing,1.5 years,Challenging
315,Advanced,FPS,2.5 years,Difficult
316,Advanced,Platformer,6 months,Moderate
317,Beginner,FPS,1.5 years,Easy
318,Beginner,RPG,4 years,Moderate
319,Advanced,RPG,2.5 years,Challenging
320,Advanced,Racing,1.5 years,Moderate
321,Beginner,Adventure,2 years,Challenging
322,Advanced,RPG,4 years,Challenging
323,Advanced,Racing,3 years,Easy
324,Beginner,Racing,3 years,Difficult
325,Intermediate,Strategy,5 years,Easy
326,Intermediate,Simulation,2 years,Moderate
327,Intermediate,FPS,3 years,Easy
328,Intermediate,Platformer,6 months,Easy
329,Advanced,RPG,3 years,Difficult
330,Advanced,Sports,1 year,Moderate
331,Intermediate,Puzzle,3 years,Difficult
332,Beginner,Racing,1 year,Challenging
333,Advanced,Strategy,2.5 years,Challenging
334,Beginner,Strategy,6 months,Moderate
335,Beginner,RPG,6 months,Easy
336,Beginner,Simulation,3 years,Easy
337,Beginner,Simulation,1 year,Challenging
338,Intermediate,Racing,2 years,Challenging
339,Intermediate,Simulation,3 years,Easy
340,Advanced,Platformer,2.5 years,Moderate
341,Beginner,Adventure,2.5 years,Moderate
342,Intermediate,Sports,4 years,Difficult
343,Intermediate,Strategy,2 years,Challenging
344,Beginner,Platformer,3 years,Challenging
345,Intermediate,Puzzle,5 years,Challenging
346,Advanced,Sports,4 years,Challenging
347,Advanced,Platformer,2 years,Moderate
348,Intermediate,Puzzle,1.5 years,Challenging
349,Advanced,Racing,3 years,Difficult
350,Intermediate,Sports,5 years,Difficult
351,Intermediate,Strategy,5 years,Easy
352,Beginner,Strategy,5 years,Challenging
353,Intermediate,Simulation,5 years,Challenging
354,Advanced,FPS,2 years,Easy
355,Intermediate,Puzzle,1 year,Moderate
356,Advanced,RPG,5 years,Easy
357,Intermediate,Simulation,2 years,Easy
358,Advanced,Simulation,1 year,Easy
359,Advanced,Platformer,2.5 years,Easy
360,Intermediate,Sports,4 years,Moderate
361,Advanced,FPS,1 year,Challenging
362,Advanced,Simulation,5 years,Moderate
363,Beginner,FPS,2 years,Challenging
364,Intermediate,FPS,3 years,Challenging
365,Advanced,Platformer,5 years,Easy
366,Beginner,RPG,4 years,Challenging
367,Intermediate,Strategy,4 years,Easy
368,Intermediate,Platformer,5 years,Easy
369,Advanced,Platformer,2.5 years,Difficult
370,Advanced,FPS,3 years,Challenging
371,Advanced,Adventure,6 months,Difficult
372,Beginner,Simulation,2.5 years,Moderate
373,Intermediate,Racing,1.5 years,Challenging
374,Advanced,Sports,5 years,Challenging
375,Advanced,Puzzle,5 years,Easy
376,Intermediate,Sports,1 year,Easy
377,Intermediate,FPS,1.5 years,Moderate
378,Beginner,FPS,1.5 years,Challenging
379,Intermediate,Platformer,4 years,Difficult
380,Beginner,RPG,2.5 years,Moderate
381,Intermediate,Simulation,5 years,Difficult
382,Advanced,Strategy,4 years,Challenging
383,Intermediate,Strategy,5 years,Challenging
384,Advanced,Adventure,1 year,Easy
385,Intermediate,Racing,2 years,Easy
386,Intermediate,Racing,1.5 years,Difficult
387,Advanced,FPS,1.5 years,Challenging
388,Advanced,Strategy,3 years,Easy
389,Advanced,Sports,5 years,Moderate
390,Advanced,Racing,4 years,Easy
391,Advanced,RPG,2.5 years,Moderate
392,Beginner,FPS,1.5 years,Moderate
393,Beginner,Racing,3 years,Easy
394,Advanced,Sports,1.5 years,Moderate
395,Intermediate,Adventure,2 years,Easy
396,Beginner,Strategy,6 months,Challenging
397,Advanced,FPS,3 years,Moderate
398,Advanced,RPG,1.5 years,Challenging
399,Intermediate,Sports,4 years,Difficult
400,Beginner,FPS,2 years,Moderate
401,Advanced,Puzzle,1 year,Moderate
402,Intermediate,Simulation,1 year,Challenging
403,Advanced,FPS,1.5 years,Challenging
404,Intermediate,Platformer,2 years,Challenging
405,Intermediate,RPG,2 years,Challenging
406,Intermediate,Platformer,2 years,Challenging
407,Advanced,Simulation,2 years,Moderate
408,Intermediate,Platformer,3 years,Easy
409,Intermediate,Puzzle,1.5 years,Difficult
410,Advanced,Strategy,5 years,Difficult
411,Beginner,Platformer,6 months,Challenging
412,Advanced,RPG,3 years,Easy
413,Advanced,Simulation,2.5 years,Difficult
414,Intermediate,Adventure,5 years,Moderate
415,Advanced,Platformer,2 years,Difficult
416,Intermediate,Strategy,2.5 years,Difficult
417,Beginner,Simulation,4 years,Moderate
418,Intermediate,FPS,3 years,Challenging
419,Intermediate,Simulation,6 months,Challenging
420,Intermediate,Strategy,1.5 years,Difficult
421,Advanced,Adventure,4 years,Easy
422,Intermediate,Adventure,4 years,Moderate
423,Beginner,Racing,2.5 years,Challenging
424,Advanced,RPG,2 years,Easy
425,Advanced,Platformer,1.5 years,Challenging
426,Intermediate,Racing,1 year,Easy
427,Advanced,Racing,5 years,Easy
428,Beginner,Racing,2.5 years,Easy
429,Intermediate,Puzzle,6 months,Challenging
430,Intermediate,Adventure,5 years,Challenging
431,Intermediate,Sports,6 months,Moderate
432,Beginner,Sports,2.5 years,Challenging
433,Intermediate,RPG,2 years,Challenging
434,Intermediate,Strategy,4 years,Challenging
435,Intermediate,Strategy,2 years,Easy
436,Beginner,Platformer,2.5 years,Easy
437,Beginner,Racing,2 years,Challenging
438,Advanced,Adventure,5 years,Difficult
439,Beginner,RPG,5 years,Moderate
440,Intermediate,Racing,2 years,Easy
441,Beginner,RPG,2 years,Challenging
442,Beginner,Simulation,2.5 years,Difficult
443,Beginner,Simulation,2.5 years,Easy
444,Beginner,Adventure,3 years,Challenging
445,Beginner,Sports,2.5 years,Challenging
446,Intermediate,FPS,3 years,Challenging
447,Intermediate,Strategy,6 months,Difficult
448,Advanced,Adventure,4 years,Challenging
449,Intermediate,Strategy,4 years,Difficult
450,Advanced,Adventure,3 years,Difficult
451,Advanced,FPS,2 years,Easy
452,Advanced,FPS,5 years,Moderate
453,Intermediate,Puzzle,4 years,Difficult
454,Intermediate,Adventure,1 year,Easy
455,Intermediate,RPG,6 months,Difficult
456,Advanced,Racing,2.5 years,Difficult
457,Advanced,Adventure,1.5 years,Moderate
458,Intermediate,RPG,3 years,Moderate
459,Advanced,Platformer,2.5 years,Difficult
460,Advanced,Strategy,1 year,Moderate
461,Beginner,Strategy,1.5 years,Moderate
462,Advanced,Sports,2.5 years,Challenging
463,Intermediate,FPS,3 years,Moderate
464,Beginner,Puzzle,2 years,Easy
465,Intermediate,Adventure,1.5 years,Moderate
466,Beginner,FPS,4 years,Easy
467,Advanced,RPG,4 years,Easy
468,Intermediate,Platformer,3 years,Moderate
469,Beginner,Strategy,2.5 years,Challenging
470,Beginner,Platformer,2 years,Moderate
471,Advanced,Racing,1.5 years,Difficult
472,Beginner,Sports,6 months,Difficult
473,Advanced,Sports,3 years,Moderate
474,Beginner,Sports,1.5 years,Moderate
475,Intermediate,Puzzle,2.5 years,Easy
476,Beginner,Simulation,1.5 years,Easy
477,Intermediate,Sports,2.5 years,Challenging
478,Advanced,Sports,2 years,Difficult
479,Beginner,Strategy,2.5 years,Moderate
480,Beginner,Puzzle,4 years,Challenging
481,Beginner,Racing,5 years,Challenging
482,Intermediate,Strategy,1 year,Challenging
483,Beginner,RPG,4 years,Moderate
484,Beginner,Racing,1.5 years,Challenging
485,Advanced,Adventure,1.5 years,Moderate
486,Intermediate,Strategy,2.5 years,Moderate
487,Intermediate,Simulation,3 years,Easy
488,Intermediate,Platformer,4 years,Difficult
489,Intermediate,RPG,1 year,Challenging
490,Intermediate,FPS,3 years,Challenging
491,Beginner,Sports,1.5 years,Difficult
492,Intermediate,Strategy,2 years,Challenging
493,Beginner,Platformer,4 years,Moderate
494,Beginner,Puzzle,1 year,Moderate
495,Advanced,Adventure,6 months,Easy
496,Advanced,RPG,5 years,Moderate
497,Advanced,Platformer,6 months,Difficult
498,Beginner,Strategy,2 years,Moderate
499,Intermediate,Puzzle,5 years,Moderate
500,Intermediate,Sports,3 years,Challenging
501,Intermediate,Racing,1.5 years,Moderate
502,Intermediate,Strategy,1.5 years,Challenging
503,Advanced,Simulation,2 years,Difficult
504,Beginner,Sports,6 months,Moderate
505,Beginner,Simulation,4 years,Moderate
506,Beginner,Puzzle,3 years,Easy
507,Beginner,Sports,2.5 years,Easy
508,Intermediate,FPS,1.5 years,Easy
509,Intermediate,Sports,2 years,Difficult
510,Advanced,Strategy,3 years,Easy
511,Advanced,Simulation,4 years,Easy
512,Beginner,Adventure,1.5 years,Easy
513,Beginner,RPG,1 year,Difficult
514,Advanced,FPS,3 years,Moderate
515,Intermediate,FPS,1 year,Moderate
516,Advanced,RPG,1 year,Challenging
517,Beginner,Simulation,3 years,Moderate
518,Intermediate,Puzzle,6 months,Moderate
519,Intermediate,Strategy,4 years,Challenging
520,Intermediate,Platformer,2.5 years,Challenging
521,Advanced,Simulation,3 years,Moderate
522,Advanced,Platformer,4 years,Challenging
523,Advanced,Adventure,1.5 years,Moderate
524,Intermediate,Sports,6 months,Challenging
525,Advanced,Puzzle,2.5 years,Difficult
526,Intermediate,Racing,2 years,Easy
527,Intermediate,Adventure,5 years,Moderate
528,Advanced,FPS,1.5 years,Easy
529,Intermediate,Simulation,4 years,Easy
530,Beginner,Puzzle,2 years,Challenging
531,Advanced,FPS,2.5 years,Difficult
532,Intermediate,FPS,1 year,Challenging
533,Intermediate,Simulation,4 years,Challenging
534,Beginner,Racing,2.5 years,Easy
535,Advanced,Platformer,1 year,Easy
536,Beginner,Platformer,6 months,Moderate
537,Advanced,Platformer,2 years,Challenging
538,Beginner,Racing,3 years,Difficult
539,Intermediate,Simulation,4 years,Easy
540,Advanced,FPS,5 years,Moderate
541,Advanced,Strategy,2.5 years,Difficult
542,Advanced,FPS,5 years,Difficult
543,Intermediate,Puzzle,5 years,Challenging
544,Intermediate,Sports,1 year,Easy
545,Intermediate,Simulation,2.5 years,Challenging
546,Advanced,Puzzle,2.5 years,Difficult
547,Advanced,Simulation,1 year,Difficult
548,Beginner,Strategy,6 months,Moderate
549,Beginner,Adventure,1 year,Challenging
550,Advanced,Sports,4 years,Easy
551,Beginner,Simulation,2.5 years,Challenging
552,Beginner,Simulation,1.5 years,Challenging
553,Beginner,Strategy,2 years,Difficult
554,Advanced,Adventure,1.5 years,Easy
555,Beginner,FPS,2 years,Easy
556,Advanced,Racing,1.5 years,Challenging
557,Beginner,Simulation,4 years,Moderate
558,Advanced,Adventure,6 months,Moderate
559,Intermediate,RPG,3 years,Easy
560,Beginner,Strategy,4 years,Challenging
561,Intermediate,Strategy,4 years,Moderate
562,Intermediate,RPG,1 year,Difficult
563,Beginner,RPG,5 years,Difficult
564,Beginner,Puzzle,2 years,Difficult
565,Advanced,Sports,2.5 years,Moderate
566,Intermediate,RPG,4 years,Moderate
567,Intermediate,Simulation,3 years,Easy
568,Advanced,Platformer,2 years,Difficult
569,Advanced,Strategy,2.5 years,Easy
570,Advanced,Puzzle,1.5 years,Easy
571,Intermediate,Strategy,2 years,Difficult
572,Advanced,Platformer,1.5 years,Challenging
573,Beginner,Simulation,5 years,Easy
574,Advanced,FPS,4 years,Difficult
575,Beginner,Simulation,1.5 years,Difficult
576,Advanced,FPS,2.5 years,Challenging
577,Intermediate,RPG,1 year,Easy
578,Intermediate,Adventure,3 years,Challenging
579,Advanced,Puzzle,5 years,Challenging
580,Intermediate,Simulation,4 years,Difficult
581,Advanced,Racing,4 years,Difficult
582,Advanced,Strategy,5 years,Difficult
583,Beginner,Puzzle,5 years,Easy
584,Advanced,Sports,4 years,Moderate
585,Beginner,Puzzle,2 years,Easy
586,Advanced,FPS,5 years,Easy
587,Advanced,FPS,5 years,Difficult
588,Intermediate,Strategy,5 years,Easy
589,Intermediate,Puzzle,2 years,Challenging
590,Intermediate,Platformer,2 years,Challenging
591,Advanced,Platformer,2.5 years,Challenging
592,Beginner,Adventure,1.5 years,Challenging
593,Advanced,Adventure,2 years,Easy
594,Beginner,Simulation,4 years,Moderate
595,Advanced,Sports,1.5 years,Difficult
596,Advanced,Sports,2 years,Challenging
597,Advanced,Strategy,1.5 years,Difficult
598,Intermediate,Puzzle,1.5 years,Difficult
599,Advanced,Simulation,1 year,Easy
600,Intermediate,Adventure,2.5 years,Difficult
601,Beginner,Sports,1 year,Moderate
602,Advanced,Strategy,3 years,Easy
603,Advanced,Adventure,1 year,Moderate
604,Advanced,FPS,2.5 years,Moderate
605,Intermediate,Puzzle,4 years,Difficult
606,Advanced,RPG,3 years,Easy
607,Beginner,RPG,1 year,Challenging
608,Intermediate,FPS,5 years,Challenging
609,Beginner,FPS,3 years,Easy
610,Advanced,Puzzle,3 years,Easy
611,Beginner,Sports,4 years,Challenging
612,Advanced,Adventure,4 years,Challenging
613,Advanced,Platformer,3 years,Challenging
614,Intermediate,FPS,5 years,Difficult
615,Intermediate,FPS,2.5 years,Moderate
616,Advanced,Sports,1 year,Easy
617,Advanced,Sports,2 years,Difficult
618,Advanced,FPS,5 years,Moderate
619,Beginner,RPG,1 year,Easy
620,Beginner,Adventure,6 months,Difficult
621,Advanced,Simulation,2.5 years,Moderate
622,Advanced,FPS,1 year,Difficult
623,Advanced,Puzzle,2.5 years,Difficult
624,Intermediate,FPS,1.5 years,Moderate
625,Advanced,Simulation,6 months,Challenging
626,Intermediate,FPS,2.5 years,Moderate
627,Beginner,Strategy,3 years,Challenging
628,Beginner,Sports,2 years,Easy
629,Beginner,Puzzle,3 years,Challenging
630,Beginner,Puzzle,4 years,Moderate
631,Advanced,Sports,6 months,Easy
632,Beginner,RPG,2.5 years,Moderate
633,Intermediate,Adventure,4 years,Easy
634,Beginner,RPG,1 year,Challenging
635,Advanced,FPS,3 years,Difficult
636,Advanced,Simulation,1.5 years,Challenging
637,Intermediate,Racing,1.5 years,Difficult
638,Beginner,RPG,6 months,Moderate
639,Advanced,Platformer,1.5 years,Moderate
640,Intermediate,Racing,1 year,Challenging
641,Intermediate,RPG,1.5 years,Moderate
642,Beginner,Strategy,1 year,Moderate
643,Intermediate,Puzzle,4 years,Challenging
644,Beginner,Puzzle,2.5 years,Easy
645,Intermediate,Puzzle,5 years,Difficult
646,Intermediate,Simulation,1.5 years,Moderate
647,Intermediate,Adventure,1.5 years,Easy
648,Intermediate,Sports,5 years,Moderate
649,Beginner,Simulation,4 years,Difficult
650,Intermediate,Racing,3 years,Moderate
651,Intermediate,Racing,1.5 years,Challenging
652,Intermediate,RPG,6 months,Easy
653,Advanced,Adventure,2 years,Easy
654,Advanced,Platformer,2 years,Challenging
655,Advanced,Simulation,2 years,Easy
